Index,Value
1094,0.605213
1095,0.553522
1096,0.501831
1097,0.441591
1098,0.38135
1099,0.32111
1100,0.260869
1101,0.196185
1102,0.1315
1103,0.0668156
1104,0.00213103
1105,-0.0625899
1106,-0.127311
1107,-0.192032
1108,-0.256753
1109,-0.317099
1110,-0.377446
1111,-0.437793
1112,-0.49814
1113,-0.55
1114,-0.601861
1115,-0.653721
1116,-0.705582
1117,-0.745422
1118,-0.785262
1119,-0.825102
1120,-0.864942
1121,-0.890047
1122,-0.915152
1123,-0.940257
1124,-0.965362
1125,-0.974021
1126,-0.98268
1127,-0.991339
1128,-0.999998
1129,-0.99162
1130,-0.983243
1131,-0.974866
1132,-0.966489
1133,-0.941647
1134,-0.916804
1135,-0.891962
1136,-0.86712
1137,-0.827505
1138,-0.78789
1139,-0.748276
1140,-0.708661
1141,-0.656974
1142,-0.605286
1143,-0.553599
1144,-0.501911
1145,-0.441673
1146,-0.381435
1147,-0.321197
1148,-0.260959
