Index,Value
291,-0.000555922
292,0.258275
293,0.258275
294,0.258275
295,0.258275
296,0.499505
297,0.499505
298,0.499505
299,0.499505
300,0.706697
301,0.706697
302,0.706697
303,0.706697
304,0.865732
305,0.865732
306,0.865732
307,0.865732
308,0.965772
309,0.965772
310,0.965772
311,0.965772
312,1
313,1
314,1
315,1
316,0.966084
317,0.966084
318,0.966084
319,0.966084
320,0.866334
321,0.866334
322,0.866334
323,0.866334
324,0.707549
325,0.707549
326,0.707549
327,0.707549
328,0.500548
329,0.500548
330,0.500548
331,0.500548
332,0.259438
333,0.259438
334,0.259438
335,0.259438
336,0.000648575
337,0.000648575
338,0.000648575
339,0.000648575
340,-0.258185
341,-0.258185
342,-0.258185
343,-0.258185
344,-0.499425
345,-0.499425
346,-0.499425
347,-0.499425
348,-0.706632
349,-0.706632
350,-0.706632
351,-0.706632
352,-0.865685
353,-0.865685
354,-0.865685
355,-0.865685
356,-0.965748
357,-0.965748
358,-0.965748
359,-0.965748
360,-1
361,-1
362,-1
363,-1
364,-0.966107
365,-0.966107
366,-0.966107
367,-0.966107
368,-0.86638
369,-0.86638
370,-0.86638
371,-0.86638
372,-0.707614
373,-0.707614
374,-0.707614
375,-0.707614
376,-0.500628
377,-0.500628
378,-0.500628
379,-0.500628
380,-0.259527
381,-0.259527
382,-0.259527
383,-0.259527
384,-0.000741229
385,-0.000741229
386,-0.000741229
387,-0.000741229
388,0.258096
389,0.258096
390,0.258096
391,0.258096
392,0.499345
393,0.499345
394,0.499345
395,0.499345
396,0.706566
397,0.706566
398,0.706566
399,0.706566
400,0.865639
401,0.865639
402,0.865639
403,0.865639
404,0.965724
405,0.965724
406,0.965724
407,0.965724
408,1
409,1
410,1
411,1
412,0.966131
413,0.966131
414,0.966131
415,0.966131
416,0.866427
417,0.866427
418,0.866427
419,0.866427
420,0.70768
421,0.70768
422,0.70768
423,0.70768
424,0.500709
425,0.500709
426,0.500709
427,0.500709
428,0.259617
429,0.259617
430,0.259617
431,0.259617
432,0.000833882
433,0.000833882
434,0.000833882
435,0.000833882
436,-0.258006
437,-0.258006
438,-0.258006
439,-0.258006
440,-0.499264
441,-0.499264
442,-0.499264
443,-0.499264
444,-0.7065
445,-0.7065
446,-0.7065
447,-0.7065
448,-0.865593
449,-0.865593
450,-0.865593
451,-0.865593
452,-0.9657
453,-0.9657
454,-0.9657
455,-0.9657
456,-1
457,-1
458,-1
459,-1
460,-0.966155
461,-0.966155
462,-0.966155
463,-0.966155
464,-0.866473
465,-0.866473
466,-0.866473
467,-0.866473
468,-0.707745
469,-0.707745
470,-0.707745
471,-0.707745
472,-0.500789
473,-0.500789
474,-0.500789
475,-0.500789
476,-0.259706
477,-0.259706
478,-0.259706
479,-0.259706
480,-0.000926536
481,-0.000926536
482,-0.000926536
483,-0.000926536
484,0.257917
485,0.257917
486,0.257917
487,0.257917
488,0.499184
489,0.499184
490,0.499184
491,0.499184
492,0.706435
493,0.706435
494,0.706435
495,0.706435
496,0.865546
497,0.865546
498,0.865546
499,0.865546
500,0.965676
501,0.965676
502,0.965676
503,0.965676
504,1
505,1
506,1
507,1
508,0.966179
509,0.966179
510,0.966179
511,0.966179
512,0.866519
513,0.866519
514,0.866519
515,0.866519
516,0.707811
517,0.707811
518,0.707811
519,0.707811
520,0.500869
521,0.500869
522,0.500869
523,0.500869
524,0.259796
525,0.259796
526,0.259796
527,0.259796
528,0.00101919
529,0.00101919
530,0.00101919
531,0.00101919
532,-0.257827
533,-0.257827
534,-0.257827
535,-0.257827
536,-0.499104
537,-0.499104
538,-0.499104
539,-0.499104
540,-0.706369
541,-0.706369
542,-0.706369
543,-0.706369
544,-0.8655
545,-0.8655
546,-0.8655
547,-0.8655
548,-0.965652
549,-0.965652
550,-0.965652
551,-0.965652
552,-0.999999
553,-0.999999
554,-0.999999
555,-0.999999
556,-0.966203
557,-0.966203
558,-0.966203
559,-0.966203
560,-0.866565
561,-0.866565
562,-0.866565
563,-0.866565
564,-0.707876
565,-0.707876
566,-0.707876
567,-0.707876
568,-0.500949
569,-0.500949
570,-0.500949
571,-0.500949
572,-0.259885
573,-0.259885
574,-0.259885
575,-0.259885
576,-0.00111184
577,-0.00111184
578,-0.00111184
579,-0.00111184
580,0.257737
581,0.257737
582,0.257737
583,0.257737
584,0.499023
585,0.499023
586,0.499023
587,0.499023
588,0.706304
589,0.706304
590,0.706304
591,0.706304
592,0.865453
593,0.865453
594,0.865453
595,0.865453
596,0.965627
597,0.965627
598,0.965627
599,0.965627
600,0.999999
601,0.999999
602,0.999999
603,0.999999
604,0.966227
605,0.966227
606,0.966227
607,0.966227
608,0.866612
609,0.866612
610,0.866612
611,0.866612
612,0.707942
613,0.707942
614,0.707942
615,0.707942
616,0.501029
617,0.501029
618,0.501029
619,0.501029
620,0.259975
621,0.259975
622,0.259975
623,0.259975
624,0.0012045
625,0.0012045
626,0.0012045
627,0.0012045
628,-0.257648
629,-0.257648
630,-0.257648
631,-0.257648
632,-0.498943
633,-0.498943
634,-0.498943
635,-0.498943
636,-0.706238
637,-0.706238
638,-0.706238
639,-0.706238
640,-0.865407
641,-0.865407
642,-0.865407
643,-0.865407
644,-0.965603
645,-0.965603
646,-0.965603
647,-0.965603
648,-0.999999
649,-0.999999
650,-0.999999
651,-0.999999
652,-0.966251
653,-0.966251
654,-0.966251
655,-0.966251
656,-0.866658
657,-0.866658
658,-0.866658
659,-0.866658
660,-0.708007
661,-0.708007
662,-0.708007
663,-0.708007
664,-0.50111
665,-0.50111
666,-0.50111
667,-0.50111
668,-0.260064
669,-0.260064
670,-0.260064
671,-0.260064
672,-0.00129715
673,-0.00129715
674,-0.00129715
675,-0.00129715
676,0.257558
677,0.257558
678,0.257558
679,0.257558
680,0.498863
681,0.498863
682,0.498863
683,0.498863
684,0.706173
685,0.706173
686,0.706173
687,0.706173
688,0.865361
689,0.865361
690,0.865361
691,0.865361
692,0.965579
693,0.965579
694,0.965579
695,0.965579
696,0.999999
697,0.999999
698,0.999999
699,0.999999
700,0.966275
701,0.966275
702,0.966275
703,0.966275
704,0.866704
705,0.866704
706,0.866704
707,0.866704
708,0.708072
709,0.708072
710,0.708072
711,0.708072
712,0.50119
713,0.50119
714,0.50119
715,0.50119
716,0.260154
717,0.260154
718,0.260154
719,0.260154
720,0.0013898
721,0.0013898
722,0.0013898
723,0.0013898
724,-0.257469
725,-0.257469
726,-0.257469
727,-0.257469
728,-0.498783
729,-0.498783
730,-0.498783
731,-0.498783
732,-0.706107
733,-0.706107
734,-0.706107
735,-0.706107
736,-0.865314
737,-0.865314
738,-0.865314
739,-0.865314
740,-0.965555
741,-0.965555
742,-0.965555
